Query,Language,Intent,Response,Symptom,Condition,Recommendation (Condition),Age,Gender,Health Condition
How can I prevent heart disease?,English,recommendation,"Prevent heart disease by eating a balanced diet, exercising regularly, and avoiding smoking.",Chest pain,heart_disease,Include more fruits and vegetables while reducing trans fats and processed foods.,50.0,Male,general
මට ආහාර සෞඛ්‍යමය උපදෙස් ලබාදෙන්න.,Sinhala,food_advice_for_diabetes,"ආහාර සෞඛ්‍යමය සඳහා, පලතුරු, එළවළු සහ ග්ලූකෝස් අඩු ආහාර භාවිතා කරන්න.",Frequent urination,diabetes,"Focus on a diet rich in fiber, such as legumes, vegetables, and whole grains.",55.0,Female,diabetes
How can I avoid fatigue caused by high blood sugar?,English,recommendation_for_diabetes,"To prevent fatigue, regulate your blood sugar by maintaining a healthy, balanced diet and regular exercise.",Fatigue,diabetes,Take short breaks throughout the day to manage energy levels and avoid sugar spikes.,40.0,Male,diabetes
What can I do to prevent kidney damage from diabetes?,English,recommendation_for_diabetes,"Control your blood sugar, reduce salt intake, and stay hydrated to prevent kidney damage.",Swelling,diabetes,Monitor kidney function regularly and reduce processed food intake.,60.0,Female,diabetes
What foods are good for heart health?,English,food_advice_for_hypertension,"Include omega-3-rich foods like salmon, walnuts, and chia seeds in your diet.",Chest discomfort,heart_disease,"Eat a diet low in trans fats and high in fruits, vegetables, and whole grains.",55.0,Female,hypertension
මට ගස්මල් දරදීම සඳහා උපකාර අවශ්‍යයි.,Sinhala,help_request,"ගස්මල් දරදීම සඳහා, වාටලියක් හෝ අධි උණුසුම් කාය චික්ත්‍රණ ක්‍රියාවලියක් භාවිතා කරන්න.",Joint pain,arthritis,Perform mild stretching and apply warm compresses.,60.0,Male,general
How can I improve blood circulation?,English,recommendation,"Regular exercise, staying hydrated, and avoiding prolonged sitting can help improve circulation.",Numbness,poor_circulation,Engage in daily physical activity and avoid smoking.,50.0,Female,general
මට දියවැඩියාවක් ඇති බව පරීක්ෂා කරන්න.,Sinhala,diagnosis_inquiry_for_diabetes,"රුධිර සීනි මට්ටම පරීක්ෂා කර, දියවැඩියාවට ඇති සංකේත ලක්ෂණ අධීක්ෂණය කරන්න.",Frequent urination,diabetes,Get a fasting blood sugar test and consult a doctor if you notice persistent symptoms.,40.0,Male,diabetes
What are the side effects of high blood pressure?,English,information_request_for_hypertension,"It can lead to headaches, fatigue, vision problems, and increased risk of stroke.",Headache,hypertension,Monitor blood pressure regularly and reduce stress.,65.0,Female,hypertension
මට දියවැඩියාව මනාව පාලනය කරගන්න උදව් කරන්න.,Sinhala,help_request_for_diabetes,දියවැඩියාව පාලනය සඳහා නිසි ආහාර වේලක් සහ ව්‍යායාම කටයුතු පිළිපදින්න.,Excessive thirst,diabetes,Follow a low-sugar diet and maintain regular physical activity.,55.0,Male,diabetes
What are the symptoms of dehydration?,English,information_request,"Symptoms include dry mouth, fatigue, dizziness, and decreased urine output.",Fatigue,dehydration,Drink plenty of water and avoid caffeinated drinks.,35.0,Female,general
මට අධි පීඩනය පාලනය කිරීම සඳහා උපදෙස් ලබාදෙන්න.,Sinhala,recommendation_for_hypertension,අධි පීඩනය පාලනය සඳහා අඩු ලවණ සහ පෝෂ්‍ය ආහාර වේලක් භාවිතා කරන්න.,Dizziness,hypertension,Reduce sodium intake and include potassium-rich foods like bananas in your meals.,60.0,Male,hypertension
How does stress affect diabetes management?,English,information_request_for_diabetes,"Stress can increase blood sugar levels, making diabetes harder to manage.",Stress,diabetes,Practice relaxation techniques like yoga or meditation to manage stress effectively.,45.0,Female,diabetes
මට හෘද රෝග පාලනය සඳහා උපදෙස් අවශ්‍යයි.,Sinhala,recommendation_for_both,"හෘද රෝග පාලනය සඳහා පෝෂ්‍ය ආහාර, ව්‍යායාම සහ ව්‍යාකූලතාවය අඩු කිරීම මනා වේ.",Chest pain,heart_disease,Avoid fatty foods and maintain a consistent exercise routine.,65.0,Male,both
What foods are best to manage diabetes?,English,food_advice_for_diabetes,"Include high-fiber foods like beans, whole grains, and leafy greens.",Frequent urination,diabetes,Monitor blood sugar and eat balanced meals with controlled carb intake.,42.0,Female,diabetes
මට මියැදීමේ ලක්ෂණ මොනවාද?,Sinhala,information_request_for_hypertension,"මියැදීමේ ලක්ෂණ ලෙස, තව කුළුඹීම, ගිලීමේ අපහස සහ කැක්කුම වේ.",Dizziness,heart_disease,Seek immediate medical attention and manage stress effectively.,50.0,Male,hypertension
How to control hypertension naturally?,English,recommendation_for_hypertension,"Reduce salt intake, exercise regularly, and manage stress effectively.",Headache,hypertension,Practice relaxation techniques like yoga or meditation daily.,55.0,Female,hypertension
මට ආහාර වේලක් සඳහා උපදෙස් ලබාදෙන්න.,Sinhala,food_advice_for_both,අඩු ලවණ සහ අධික පෝෂක ආහාර ආහාර වේලට එක් කරන්න.,Headache,hypertension,"Include fresh fruits and vegetables, and avoid processed foods.",48.0,Male,both
What are the signs of early diabetes?,English,diagnosis_inquiry_for_diabetes,"Signs include frequent urination, increased thirst, and unexplained weight loss.",Frequent urination,diabetes,Get regular blood sugar tests and avoid sugary foods and drinks.,39.0,Female,diabetes
මට ව්‍යායාම උපදෙස් ලබාදෙන්න.,Sinhala,recommendation,දිවා 30 මිනිත්තු ක්‍රියාකාරීත්වය ව්‍යායාම මට්ටම තද කිරීම සඳහා කරුණාවෙන් ව්‍යායාම කරන්න.,Fatigue,general,Start light exercises like walking and gradually increase intensity.,33.0,Male,general
Can you recommend stress management tips?,English,help_request,"Practice deep breathing, meditation, and engage in regular physical activity.",Fatigue,general,Avoid caffeine and practice mindfulness daily.,37.0,Female,general
මට මොනවාද උසස් පීඩනයේ නියත ලක්ෂණ?,Sinhala,diagnosis_inquiry_for_hypertension,"උසස් පීඩනයේ ලක්ෂණ වන්නේ, හිසරදය, ආන්දුනත්මක බව සහ හෘද අසාමාන්‍යතාව වේ.",Dizziness,hypertension,Check blood pressure regularly and consult a physician if persistent.,54.0,Male,hypertension
What are good snacks for managing diabetes?,English,food_advice_for_diabetes,"Snack on nuts, seeds, and low-fat yogurt to manage blood sugar levels.",Frequent urination,diabetes,Include protein-rich snacks like boiled eggs and reduce refined carbs.,44.0,Female,diabetes
මට හෘද ආරක්ෂණය සඳහා උපදෙස් ලබාදෙන්න.,Sinhala,recommendation_for_hypertension,"හෘද ආරක්ෂණය සඳහා, සෞඛ්‍ය ආහාර වේලක් සහ ව්‍යායාම කරන්න.",Chest discomfort,heart_disease,Avoid saturated fats and practice stress-relieving activities.,60.0,Male,hypertension
What foods can help with hypertension?,English,food_advice_for_hypertension,"Consume foods rich in potassium like bananas, spinach, and sweet potatoes.",Headache,hypertension,Reduce salt intake and include whole grains and vegetables in your diet.,40.0,Male,hypertension
මට සීනි රෝගයක් පාලනය කරන්න පුළුවන්ද?,Sinhala,help_request_for_diabetes,ඔබේ ආහාර වේලේ සීනි අඩු කරමින් සහ නිතර ව්‍යායාමයෙන් සීනි රෝගය පාලනය කළ හැකිය.,Frequent urination,diabetes,Monitor blood sugar levels regularly and consult a doctor for dietary adjustments.,50.0,Female,diabetes
How to deal with stress naturally?,English,recommendation,"Practice mindfulness, yoga, and deep breathing exercises to reduce stress.",Fatigue,general,Engage in activities that bring relaxation and avoid overthinking.,35.0,Female,general
මට හෘද සෞඛ්‍යය සඳහා ආහාර වේලක් ලබාදෙන්න.,Sinhala,food_advice,"හෘද සෞඛ්‍යය සඳහා, පොල්තෙල් අඩු කරනවා, මෝදක ආහාර සහ අඩු ලවණ ආහාර භාවිතා කරන්න.",Chest pain,heart_disease,Avoid trans fats and consume omega-3 rich foods like fish.,55.0,Male,general
What are the symptoms of a stroke?,English,information_request,"Sudden numbness, confusion, trouble speaking, and loss of balance are symptoms of a stroke.",Numbness,general,Seek immediate medical help if these symptoms occur.,60.0,Male,general
මට නින්ද මදිවීමේ ගැටළු තියෙනවාද?,Sinhala,diagnosis_inquiry,"නින්ද මදිවීමේ ලක්ෂණ වනුයේ අධික ආතතිය, දිගු කාලීන හිසරදය සහ කන්සැරකයයි.",Insomnia,sleep_disorder,Maintain a regular sleep schedule and avoid screen exposure before bed.,30.0,Female,general
Can diabetes affect vision?,English,information_request_for_diabetes,"Yes, diabetes can lead to diabetic retinopathy, which affects the retina and may cause vision problems.",Blurred vision,diabetes,Regular eye checkups and controlled blood sugar levels can prevent complications.,45.0,Male,diabetes
මට රුධිර පීඩනය පාලනය කරන්න උදව් කරන්න.,Sinhala,help_request_for_hypertension,නිතර රුධිර පීඩනය මනාලනය කිරීම සඳහා ලවණය අඩු කරමින් සහ පෝෂ්‍ය ආහාර වේලක් භාවිතා කරන්න.,Dizziness,hypertension,Include low-sodium foods and engage in regular physical activity.,50.0,Male,hypertension
What causes frequent headaches?,English,diagnosis_inquiry_for_hypertension,"Frequent headaches can be caused by stress, dehydration, or underlying conditions like hypertension.",Headache,hypertension,"Stay hydrated, reduce stress, and measure blood pressure if headaches persist.",35.0,Female,hypertension
මට සීනි මනාලනය සඳහා උපදෙස් දෙන්න.,Sinhala,help_request_for_diabetes,"සීනි මනාලනය සඳහා, නිතර පරීක්ෂණ සහ නියමිත ආහාර වේලක් අනුගමනය කරන්න.",Frequent urination,diabetes,Consume low-glycemic foods and avoid sugary drinks.,60.0,Female,diabetes
How can I improve my cholesterol levels?,English,recommendation_for_heart_disease,"Eat foods rich in omega-3 fatty acids, exercise regularly, and reduce intake of saturated fats.",Chest discomfort,heart_disease,"Increase intake of fruits, vegetables, and whole grains.",50.0,Male,heart_disease
How do I lower my blood sugar levels naturally?,English,recommendation_for_diabetes,"Exercise regularly, consume low-carb foods, and maintain a healthy weight.",Fatigue,diabetes,"Engage in walking or swimming, and eat fiber-rich foods.",55.0,Female,diabetes
What should I do when I feel a heart attack coming on?,English,help_request_for_heart_disease,"If you feel chest pain, call emergency services immediately, and try to stay calm.",Chest pain,heart_disease,Try to take deep breaths and chew an aspirin (if recommended by a doctor).,60.0,Male,heart_disease
How can I reduce the effects of anxiety?,English,recommendation,"Practice mindfulness, yoga, and deep breathing exercises. Avoid caffeine and try stress-relief activities.",Anxiety,stress,Engage in relaxation techniques and regular physical activity.,40.0,Female,general
What are the symptoms of high blood pressure?,English,information_request_for_hypertension,"Common symptoms include headaches, dizziness, and blurry vision.",Headache,hypertension,Measure your blood pressure regularly and consult a doctor for treatment.,45.0,Male,hypertension
How can I prevent dehydration?,English,recommendation,"Drink plenty of water, especially in hot weather or after physical activity.",Thirst,general,Carry a water bottle and drink small amounts throughout the day.,30.0,Female,general
What should I eat to prevent diabetes?,English,food_advice_for_diabetes,Eat a diet high in fiber and low in refined carbohydrates. Avoid sugary snacks and sodas.,Fatigue,diabetes,"Focus on whole grains, leafy greens, and lean proteins.",50.0,Male,diabetes
How can I reduce my blood pressure quickly?,English,recommendation_for_hypertension,"Avoid stress, reduce sodium intake, and try a relaxation technique such as deep breathing or meditation.",Dizziness,hypertension,"Drink water, reduce salt, and try walking or yoga to relieve pressure.",40.0,Female,hypertension
How can I strengthen my immune system naturally?,English,recommendation,"Eat a balanced diet rich in vitamins C and D, exercise, and get plenty of sleep.",Fatigue,general,"Take vitamin supplements if needed, and practice hygiene regularly.",30.0,Male,general
What causes frequent urination in women?,English,diagnosis_inquiry,"Frequent urination can be caused by urinary tract infections, diabetes, or an overactive bladder.",Frequent urination,general,Consult a doctor for diagnosis and avoid bladder irritants such as caffeine.,35.0,Female,general
How do I know if I have sleep apnea?,English,diagnosis_inquiry,"Symptoms include loud snoring, choking during sleep, and feeling tired after a full night of sleep.",Fatigue,general,Consult a doctor to evaluate sleep patterns and possibly undergo a sleep study.,50.0,Male,general
How can I control my blood sugar after meals?,English,recommendation_for_diabetes,"Avoid large meals, eat smaller portions, and combine carbohydrates with fiber and protein to slow sugar absorption.",Fatigue,diabetes,Eat protein-rich snacks and avoid processed carbs to maintain steady blood sugar.,45.0,Female,diabetes
How do I reduce bloating after eating?,English,recommendation,"Avoid overeating, eat slowly, and incorporate digestive enzymes into your diet.",Bloating,general,Drink peppermint or ginger tea and eat smaller meals throughout the day.,30.0,Male,general
What are the early signs of diabetes?,English,information_request_for_diabetes,"Early signs include excessive thirst, frequent urination, and unexplained weight loss.",Thirst,diabetes,Monitor your blood sugar and consult a doctor for early intervention.,55.0,Female,diabetes
How can I prevent a stroke?,English,recommendation_for_heart_disease,"Control blood pressure, manage stress, eat a heart-healthy diet, and avoid smoking and excessive alcohol consumption.",Dizziness,heart_disease,Regular physical activity and healthy eating can significantly reduce risk.,60.0,Male,heart_disease
How can I stay healthy with diabetes?,English,recommendation_for_diabetes,"Focus on managing blood sugar, eating healthy meals, and engaging in regular physical activity.",Fatigue,diabetes,"Stick to a low-carb diet, avoid sugary foods, and stay active throughout the day.",40.0,Female,diabetes
How does alcohol affect blood pressure?,English,information_request_for_hypertension,Alcohol can raise blood pressure and interfere with medications used to treat hypertension.,Dizziness,hypertension,Limit alcohol consumption to a moderate level to control blood pressure.,50.0,Male,hypertension
How can I protect my eyes as I age?,English,recommendation,"Protect your eyes from UV rays, have regular eye exams, and eat foods rich in vitamins A and C.",Eye strain,general,Consider wearing sunglasses and maintaining a healthy diet rich in antioxidants.,60.0,Female,general
How can I improve my digestive health?,English,recommendation,"Eat a high-fiber diet, drink plenty of water, and reduce stress.",Indigestion,general,Include probiotic-rich foods like yogurt and fermented vegetables.,45.0,Male,general
What are the benefits of drinking green tea?,English,information_request,"Green tea is rich in antioxidants and may improve heart health, help control blood sugar, and aid in weight loss.",Fatigue,general,Drink a cup of green tea in the morning for energy and metabolism boost.,35.0,Female,general
How do I know if I have an infection?,English,diagnosis_inquiry,"Symptoms include fever, body aches, chills, or localized pain and redness.",Fever,general,Consult a doctor for appropriate tests and treatments.,30.0,Male,general
How do I know if I need a cholesterol test?,English,diagnosis_inquiry_for_heart_disease,"A cholesterol test is recommended if you have a family history of heart disease, are overweight, or have high blood pressure.",Chest pain,heart_disease,Schedule a test every 4-6 years as part of routine health checks.,50.0,Female,heart_disease
How do I know if I am stressed?,English,diagnosis_inquiry,"Symptoms of stress can include irritability, fatigue, difficulty sleeping, and physical tension.",Fatigue,general,Practice deep breathing or meditation to relieve stress.,40.0,Male,general
How can I improve my metabolism?,English,recommendation,"Drink water, eat small meals throughout the day, and exercise regularly to boost your metabolism.",Fatigue,general,Include protein-rich foods and limit sugary snacks that slow down metabolism.,45.0,Female,general
How do I treat a headache naturally?,English,recommendation,"Drink plenty of water, reduce screen time, and try using essential oils such as peppermint or lavender.",Headache,general,"Rest in a quiet, dark room and apply a cold compress to the forehead.",50.0,Male,general
How can I manage my stress levels?,English,recommendation,"Practice yoga, meditation, and engage in enjoyable physical activities like walking or dancing.",Fatigue,general,Focus on self-care activities like journaling or deep breathing exercises.,30.0,Female,general
How can I naturally lower my cholesterol?,English,recommendation_for_hypertension,"Include foods like oats, barley, and legumes while reducing saturated fats.",Chest discomfort,hypertension,Consume more fiber and omega-3 fatty acids from fish.,50.0,Male,hypertension
මට ආහාර පෝෂණ මනාලනය සඳහා උපදෙස් ලබාදෙන්න.,Sinhala,food_advice_for_diabetes,"පෝෂණ මනාලනය සඳහා, අඩු ග්ලූකෝස් සහ අඩු කාබෝහයිඩ්‍රේට් ආහාර භාවිතා කරන්න.",Fatigue,diabetes,Eat more whole grains and lean proteins to regulate blood sugar.,40.0,Female,diabetes
What are common signs of high blood pressure?,English,diagnosis_inquiry_for_hypertension,"Common signs include headaches, dizziness, and shortness of breath.",Headache,hypertension,Get your blood pressure checked regularly to manage symptoms.,60.0,Male,hypertension
මට දියවැඩියාව නිසා පීඩනය පාලනය කරන්න උදව් කරන්න.,Sinhala,help_request_for_both,"දියවැඩියාව නිසා, පීඩනය පාලනය සඳහා, අඩු ලවණ සහ අඩු කාබෝහයිඩ්‍රේට් ආහාර භාවිතා කරන්න.",Dizziness,both,Balance both blood sugar and blood pressure levels with healthy lifestyle choices.,45.0,Female,both
How do I manage my diabetes with exercise?,English,recommendation_for_diabetes,"Incorporate moderate aerobic exercise like walking, swimming, or cycling for 30 minutes daily.",Fatigue,diabetes,Regular physical activity will help maintain healthy blood sugar levels.,50.0,Male,diabetes
මට වයස අවදානම් ක්ෂේම භාරය ගැන දැන ගැනීම කෙසේද?,Sinhala,information_request,"වයස අවදානම් ක්ෂේම භාරය සඳහා, ව්‍යායාම සහ පෝෂ්‍ය ආහාර ගැන සලකා බලන්න.",Joint pain,arthritis,Regular stretching and weight-bearing exercises can reduce joint stiffness.,55.0,Female,general
How can I improve my blood circulation naturally?,English,recommendation_for_hypertension,Engage in physical activities like walking and stretching to boost blood flow.,Swelling,hypertension,Avoid sitting for long periods and elevate your legs.,45.0,Male,hypertension
මට පීඩනය පාලනය සඳහා නිසි ආහාර ලබා ගැනීමේ උපදෙස්.,Sinhala,food_advice_for_hypertension,"පීඩනය පාලනය සඳහා, අඩු ලවණ සහ අඩු කාබෝහයිඩ්‍රේට් ආහාර භාවිතා කරන්න.",Chest discomfort,hypertension,Consume potassium-rich foods like bananas and spinach for better heart health.,60.0,Male,hypertension
How do I know if I have high cholesterol?,English,diagnosis_inquiry_for_hypertension,"Common signs include chest pain, shortness of breath, and dizziness. Regular blood tests can confirm high cholesterol.",Chest discomfort,hypertension,Keep a check on cholesterol levels regularly and maintain a heart-healthy diet.,50.0,Female,hypertension
මට අධි රුධිර පීඩනය සඳහා සෞඛ්‍ය හෝ ගාස්ම ලාභ මනාලනය.,Sinhala,help_request_for_hypertension,"රුධිර පීඩනය අඩු කිරීම සඳහා, රුධිර පීඩනය පරීක්ෂා කර නිසි පෝෂණ හා ව්‍යායාම මඟින් පාලනය කරන්න.",Dizziness,hypertension,Control stress levels and maintain a healthy weight through exercise.,45.0,Male,hypertension
What are some food choices for blood pressure management?,English,food_advice_for_hypertension,"Choose low-sodium, potassium-rich foods like fruits, vegetables, and whole grains.",Headache,hypertension,Include foods high in magnesium and potassium such as leafy greens and nuts.,60.0,Female,hypertension
මට මනෝවිද්‍යා ආතතිය සඳහා වඩාත් හොඳ උපදෙස් මොනවාද?,Sinhala,recommendation,"මනෝවිද්‍යා ආතතිය සඳහා, ධ්‍යානය, විශේෂයෙන් කුඩා පරිමාණ ව්‍යායාම මඟින් නිවාරණය කරන්න.",Stress,general,Practice yoga and meditation techniques to reduce stress and relax.,30.0,Female,general
How can I improve my metabolism naturally?,English,recommendation,"Include metabolism-boosting foods like green tea, chili peppers, and lean proteins.",Fatigue,general,Increase activity levels and drink plenty of water to stay hydrated.,40.0,Male,general
මට දියවැඩියාව හෝ පීඩන මනාලනය සඳහා සෞඛ්‍ය උපදෙස්.,Sinhala,help_request_for_both,සෞඛ්‍ය සඳහා පෝෂණ සහ ව්‍යායාම මඟින් පාලනය සහ හෝ පීඩනය අඩු කරන්න.,Fatigue,both,Follow a balanced diet and perform regular exercise.,55.0,Female,both
How do I reduce my risk of stroke naturally?,English,recommendation_for_hypertension,"Regular exercise, controlling blood pressure, and eating a heart-healthy diet can reduce stroke risk.",Headache,hypertension,Avoid smoking and excessive alcohol consumption to prevent a stroke.,60.0,Male,hypertension
How do I improve my digestion?,English,recommendation,"Drink plenty of water, consume fiber-rich foods like fruits and vegetables, and avoid overeating.",Bloating,general,Avoid carbonated drinks and manage stress to improve gut health.,45.0,Female,general
මට සීනි රෝගය පාලනය කර ගැනීමට අලුත් උපදෙස්.,Sinhala,recommendation_for_diabetes,සීනි රෝගය පාලනය කිරීමට අලුත්ම ආහාර සහ පෝෂණ මඟින් නිතර පරීක්ෂා කරන්න.,Frequent urination,diabetes,Monitor blood sugar levels and eat foods with low glycemic indexes.,50.0,Male,diabetes
How can I manage stress more effectively?,English,recommendation,"Practice mindfulness, deep breathing, and engage in regular physical activity to manage stress.",Fatigue,general,"Take regular breaks, maintain a healthy work-life balance, and socialize.",40.0,Female,general
මට ආහාර සෞඛ්‍යය සඳහා පෝෂ්‍ය උපදෙස් ලබාගන්න.,Sinhala,food_advice_for_diabetes,"ආහාර සෞඛ්‍යය සඳහා, අඩු ලවණ සහ අඩු ග්ලූකෝස් ආහාර භාවිතා කරන්න.",Dizziness,diabetes,Avoid foods high in sugar and eat more whole vegetables and fruits.,50.0,Male,diabetes
What are the signs of low blood sugar?,English,diagnosis_inquiry_for_diabetes,"Symptoms of low blood sugar include sweating, shakiness, irritability, and confusion.",Dizziness,diabetes,Carry glucose tablets or sugary snacks for immediate relief from hypoglycemia.,40.0,Female,diabetes
What are some common causes of high blood pressure?,English,information_request_for_hypertension,"Common causes include stress, a high-sodium diet, and lack of physical activity.",Headache,hypertension,Reduce sodium intake and practice relaxation techniques.,55.0,Male,hypertension
How can I manage my diabetes without medication?,English,recommendation_for_diabetes,"You can manage diabetes through a healthy diet, exercise, and regular blood sugar monitoring.",Frequent urination,diabetes,Focus on a low-carb diet and daily physical activity to keep blood sugar levels steady.,50.0,Female,diabetes
මට මනෝවිද්‍යා ආතතිය පාලනය කර ගැනීමට උපදෙස් අවශ්‍යයි.,Sinhala,help_request_for_stress,"මනෝවිද්‍යා ආතතිය පාලනය කිරීම සඳහා, ධ්‍යානය සහ විශේෂිත ව්‍යායාමවලට සම්බන්ධ වන්න.",Stress,stress,Consider yoga and relaxation exercises to manage stress effectively.,40.0,Female,stress
How can I lower my blood sugar naturally?,English,recommendation_for_diabetes,"Eat high-fiber foods, exercise regularly, and stay hydrated to help lower blood sugar levels naturally.",Increased thirst,diabetes,Include fiber-rich vegetables and avoid sugary foods to help stabilize blood sugar.,60.0,Male,diabetes
මට උණ්න්වල විකිරණය සඳහා උපදෙස් ලබාදෙන්න.,Sinhala,recommendation,"උණ්වල විකිරණය සඳහා, ජලය පාන කිරීම සහ සරල ආහාර වලින් පෝෂණය ලබා ගැනීම වැදගත් වේ.",Fatigue,general,Drink plenty of fluids and ensure a well-balanced diet for quicker recovery.,30.0,Male,general
How can I improve my cholesterol levels?,English,recommendation_for_heart_disease,"Include foods rich in omega-3 fatty acids, such as fish, and reduce your intake of trans fats.",Chest discomfort,heart_disease,Focus on a heart-healthy diet with low saturated fats to improve cholesterol levels.,45.0,Female,heart_disease
මට රුධිර පීඩනය සඳහා උපදෙස් ලබාගන්න.,Sinhala,recommendation_for_hypertension,"රුධිර පීඩනය පාලනය සඳහා, අඩු ලවණ සහ අඩු සීනි ආහාර භාවිතා කරන්න.",Headache,hypertension,Limit sodium intake and include potassium-rich foods like bananas in your diet.,60.0,Male,hypertension
What are some natural remedies for headaches?,English,recommendation,"Apply a cold compress to your forehead, stay hydrated, and avoid stress to help alleviate headaches.",Headache,general,Use herbal teas like peppermint or ginger to soothe headaches.,50.0,Female,general
How can I maintain a healthy weight with diabetes?,English,recommendation_for_diabetes,"Eat a balanced diet with whole grains, lean proteins, and plenty of vegetables. Exercise regularly to maintain weight.",Fatigue,diabetes,Include low-glycemic foods and monitor blood sugar levels regularly.,55.0,Male,diabetes
මට සීනි රෝගයට සාධාරණ ප්‍රතිකාර ලබාදෙන්න.,Sinhala,recommendation_for_diabetes,"සීනි රෝගයට සාධාරණ ප්‍රතිකාර සඳහා, නිතර පරීක්ෂා සහ පෝෂ්‍යදායී ආහාර භාවිතා කරන්න.",Increased hunger,diabetes,Maintain a healthy diet rich in fiber and whole foods to manage blood sugar levels.,50.0,Female,diabetes
How can I prevent high cholesterol?,English,recommendation_for_hypertension,"Reduce saturated fat intake, exercise regularly, and include more fruits and vegetables in your diet.",Fatigue,hypertension,Avoid processed and fatty foods. Include fiber-rich foods in your meals.,60.0,Male,hypertension
මට සීනි රෝගය පාලනය කරන්න පුළුවන්ද?,Sinhala,recommendation_for_diabetes,"ඔබේ රුධිර සීනි මනාලනය කිරීම සඳහා, නිතර අඩු ග්ලයිසෙමික ආහාර සහ ව්‍යායාම භාවිතා කරන්න.",Frequent urination,diabetes,Monitor blood glucose levels and maintain a balanced diet to prevent complications.,50.0,Female,diabetes
What are the signs of a heart attack?,English,diagnosis_inquiry_for_hypertension,"Symptoms include chest pain, shortness of breath, and pain in the arm or jaw.",Chest pain,heart_disease,Seek immediate medical attention if experiencing symptoms of a heart attack.,55.0,Male,hypertension
මට පීඩන මිනුමක් ගැන ඉගෙන ගන්න ඕනේ,Sinhala,help_request_for_hypertension,"පීඩන මිනුම කිරීමට, මනෝමිටර් භාවිතා කිරීම සහ මනෝපදේශ අනුගමනය කිරීම අනිවාර්ය වේ.",Headache,hypertension,Regularly check blood pressure and consult with a doctor for necessary changes.,40.0,Female,hypertension
How can I treat chronic fatigue syndrome?,English,recommendation,"Gradual exercise, cognitive behavioral therapy, and a healthy diet can help alleviate symptoms.",Fatigue,chronic_fatigue_syndrome,"Maintain a balanced diet with plenty of vegetables, lean proteins, and water.",45.0,Female,general
මට පීඩනය පාලනය කිරීමේදී උපදෙස් ලබාගන්න.,Sinhala,recommendation_for_hypertension,"පීඩනය පාලනය කිරීමට, මනෝවිද්‍යා ක්‍රම සහ ශරීර කාර්යමය ව්‍යායාම භාවිතා කරන්න.",Headache,hypertension,Practice meditation and engage in cardiovascular exercises to lower blood pressure.,50.0,Male,hypertension
What are natural remedies for lowering blood sugar?,English,recommendation_for_diabetes,"Increase fiber intake, reduce carbohydrate consumption, and practice regular exercise to help regulate blood sugar.",Frequent urination,diabetes,"Include more whole grains, legumes, and vegetables in your meals.",60.0,Female,diabetes
මට අධි රුධිර පීඩනය ගැන දැන ගන්න ඕනේ,Sinhala,information_request_for_hypertension,"අධි රුධිර පීඩනය පිළිබඳව, සාමාන්‍ය රුධිර පීඩනය මිනුම් සහ මනෝපදේශ අනුගමනය කරන්න.",Dizziness,hypertension,Regularly monitor blood pressure and limit intake of salt and alcohol.,65.0,Male,hypertension
What are the best foods for a diabetic diet?,English,food_advice_for_diabetes,"Include whole grains, non-starchy vegetables, and lean proteins in your meals. Avoid sugary foods.",Frequent urination,diabetes,Maintain portion control and opt for high-fiber foods to help regulate blood sugar.,45.0,Male,diabetes
How do I manage stress naturally?,English,recommendation,"Practice mindfulness, engage in physical activity, and ensure adequate sleep for stress management.",Fatigue,general,"Try yoga, deep breathing exercises, and set aside time for hobbies.",30.0,Female,general
What is the best way to lower my blood pressure?,English,recommendation_for_hypertension,"Reduce salt intake, eat potassium-rich foods, and engage in regular aerobic exercise like walking or swimming.",Headache,hypertension,Monitor your blood pressure regularly and avoid processed foods.,48.0,Female,hypertension
මට ආහාර සෞඛ්‍යය සඳහා උපදෙස් ලබාදෙන්න.,Sinhala,food_advice_for_diabetes,"ආහාර සෞඛ්‍යය සඳහා, සීනි සහ කැබොහයිඩ්‍රේට් අඩු ආහාර භාවිතා කරන්න.",Frequent urination,diabetes,Include low-carb vegetables and lean proteins in your meals.,35.0,Male,diabetes
What are the symptoms of diabetes in men?,English,diagnosis_inquiry_for_diabetes,"Symptoms include frequent urination, increased thirst, and unexplained weight loss.",Increased thirst,diabetes,Schedule a fasting glucose test and maintain a balanced diet.,50.0,Male,diabetes
මට පීඩනය මිනුමක් කරන්න උදව් කරන්න.,Sinhala,help_request_for_hypertension,"ඔබේ පීඩනය මනෝමිටර් මගින් පරික්ෂා කර, ලිපිනය නිවැරදිව සකසන්න.",Dizziness,hypertension,Consult a physician if your readings are consistently high.,60.0,Female,hypertension
How does diet affect diabetes management?,English,information_request_for_diabetes,A healthy diet can stabilize blood sugar levels and reduce the need for medication.,Frequent urination,diabetes,Avoid sugary foods and include whole grains and proteins in your meals.,40.0,Male,diabetes
මට අධි රුධිර පීඩනය සඳහා උපදෙස් ලබාගන්න.,Sinhala,help_request_for_hypertension,"අධි රුධිර පීඩනය සඳහා අඩු ලවණ ආහාර, සහ ව්‍යායාම සඳහා වේලාවක් වෙන් කරන්න.",Headache,hypertension,Drink plenty of water and reduce processed food intake.,55.0,Male,hypertension
